watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
14,2024-03-21 15:00:00,LEP-005,23,9,0.391304347826087,1.39,233.05193877551017
11,2024-03-21 16:00:00,LEP-005,15,4,0.2666666666666666,1.27,212.9323469387755
6,2024-03-21 17:00:00,LEP-005,15,9,0.6,1.6,268.2612244897959
1,2024-03-21 18:00:00,LEP-005,27,26,0.9629629629629628,1.96,328.62
6,2024-03-21 19:00:00,LEP-005,29,23,0.7931034482758621,1.79,300.11724489795915
7,2024-03-21 20:00:00,LEP-005,0,0,,1.0,167.66326530612244
1,2024-03-21 21:00:00,LEP-005,0,0,,1.0,167.66326530612244
5,2024-03-21 22:00:00,LEP-005,0,0,,1.0,167.66326530612244
7,2024-03-21 23:00:00,LEP-005,0,0,,1.0,167.66326530612244
7,2024-03-22 00:00:00,LEP-005,0,0,,1.0,167.66326530612244
7,2024-03-22 01:00:00,LEP-005,0,0,,1.0,167.66326530612244
4,2024-03-22 02:00:00,LEP-005,0,0,,1.0,167.66326530612244
3,2024-03-22 03:00:00,LEP-005,0,0,,1.0,167.66326530612244
5,2024-03-22 04:00:00,LEP-005,0,0,,1.0,167.66326530612244
3,2024-03-22 05:00:00,LEP-005,0,0,,1.0,167.66326530612244
2,2024-03-22 06:00:00,LEP-005,0,0,,1.0,167.66326530612244
2,2024-03-22 07:00:00,LEP-005,21,19,0.9047619047619048,1.9,318.5602040816326
6,2024-03-22 08:00:00,LEP-005,22,16,0.7272727272727273,1.73,290.0574489795918
1,2024-03-22 09:00:00,LEP-005,20,19,0.95,1.95,326.94336734693877
1,2024-03-22 10:00:00,LEP-005,17,16,0.9411764705882352,1.94,325.26673469387754
1,2024-03-22 11:00:00,LEP-005,24,23,0.9583333333333334,1.96,328.62
4,2024-03-22 12:00:00,LEP-005,18,14,0.7777777777777778,1.78,298.4406122448979
5,2024-03-22 13:00:00,LEP-005,20,15,0.75,1.75,293.4107142857143
8,2024-03-22 14:00:00,LEP-005,22,14,0.6363636363636364,1.64,274.96775510204077
15,2024-03-22 15:00:00,LEP-005,23,8,0.3478260869565217,1.35,226.34540816326532
13,2024-03-22 16:00:00,LEP-005,15,2,0.1333333333333333,1.0,167.66326530612244
7,2024-03-22 17:00:00,LEP-005,15,8,0.5333333333333333,1.53,256.5247959183673
1,2024-03-22 18:00:00,LEP-005,27,26,0.9629629629629628,1.96,328.62
1,2024-03-22 19:00:00,LEP-005,29,28,0.9655172413793104,1.97,330.2966326530612
